param n:= 7;
param init:
	1	2	3	4	5	6	7:=
1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	1
3	1	1	1	1	1	1	1
4	1	1	1	1	1	1	1
5	1	1	1	1	1	1	1
6	1	1	1	1	1	1	1
7	1	1	1	1	1	1	1;


#param init:
#	1	2	3	4	5	6	7:=
#1	0	0	0	0	0	0	0
#2	0	1	1	1	1	1	0
#3	0	1	1	1	1	1	0
#4	0	1	1	0	1	1	0
#5	0	1	1	1	1	1	0
#6	0	1	1	1	1	1	0
#7	0	0	0	0	0	0	0;
#param init:
#	1	2	3	4	5	6	7	8	9:=
#1	0	0	0	0	0	0	0	0	0
#2	0	1	1	1	1	1	1	1	0
#3	0	1	1	1	1	1	1	1	0
#4	0	1	1	1	1	1	1	1	0
#5	0	1	1	1	1	1	1	1	0
#6	0	1	1	1	1	1	1	1	0
#7	0	1	1	1	1	1	1	1	0
#8	0	1	1	1	1	1	1	1	0
#9	0	0	0	0	0	0	0	0	0;
